Timestamp,MQ7_CO_PPM,MQ7_Status,MQ135_CO2_PPM,MQ135_Status,Total_Pollution_PPM,Total_Pollution,Air_Quality_Status
2025-07-01 00:00:00,5.76,Sehat,584.26,Sehat,590.02,1.0,Baik
2025-07-01 00:01:00,3.49,Sehat,584.93,Sehat,588.42,1.0,Baik
2025-07-01 00:02:00,3.19,Sehat,424.41,Sehat,427.6,1.0,Baik
2025-07-01 00:03:00,3.24,Sehat,429.13,Sehat,432.37,1.0,Baik
2025-07-01 00:04:00,3.25,Sehat,418.78,Sehat,422.03,1.0,Baik
2025-07-01 00:05:00,2.87,Sehat,417.94,Sehat,420.81,1.0,Baik
2025-07-01 00:06:00,2.09,Sehat,421.13,Sehat,423.22,1.0,Baik
2025-07-01 00:07:00,2.57,Sehat,425.12,Sehat,427.69,1.0,Baik
2025-07-01 00:08:00,2.37,Sehat,422.51,Sehat,424.88,1.0,Baik
2025-07-01 00:09:00,2.49,Sehat,411.85,Sehat,414.34,1.0,Baik
2025-07-01 00:10:00,2.26,Sehat,409.45,Sehat,411.7,1.0,Baik
2025-07-01 00:11:00,3.47,Sehat,404.23,Sehat,407.7,1.0,Baik
2025-07-01 00:12:00,2.34,Sehat,409.26,Sehat,411.6,1.0,Baik
2025-07-01 00:13:00,2.86,Sehat,390,Sehat,392.86,1.0,Baik
2025-07-01 00:14:00,2.67,Sehat,390,Sehat,392.67,1.0,Baik
2025-07-01 00:15:00,2.89,Sehat,390,Sehat,392.89,1.0,Baik
2025-07-01 00:16:00,2.03,Sehat,393.91,Sehat,395.94,1.0,Baik
2025-07-01 00:17:00,2.19,Sehat,397.76,Sehat,399.94,1.0,Baik
2025-07-01 00:18:00,1.54,Sehat,400.63,Sehat,402.18,1.0,Baik
2025-07-01 00:19:00,1.67,Sehat,401.75,Sehat,403.42,1.0,Baik
2025-07-01 00:20:00,1.23,Sehat,402.56,Sehat,403.79,1.0,Baik
2025-07-01 00:21:00,1.77,Sehat,395.32,Sehat,397.09,1.0,Baik
2025-07-01 00:22:00,2.74,Sehat,394.86,Sehat,397.6,1.0,Baik
2025-07-01 00:23:00,2.64,Sehat,390,Sehat,392.64,1.0,Baik
2025-07-01 00:24:00,2.67,Sehat,390,Sehat,392.67,1.0,Baik
2025-07-01 00:25:00,2.08,Sehat,415.33,Sehat,417.41,1.0,Baik
2025-07-01 00:26:00,2.98,Sehat,429.51,Sehat,432.5,1.0,Baik
2025-07-01 00:27:00,2.62,Sehat,406.05,Sehat,408.68,1.0,Baik
2025-07-01 00:28:00,2.04,Sehat,391.39,Sehat,393.43,1.0,Baik
